1st epoch,34th epoch,41st epoch,58th epoch,79th epoch,85th epoch,103rd epoch,110th epoch
0,2,2,2,3,2,2,2
0,2,2,2,3,2,2,0
0,2,2,2,3,2,2,
0,2,2,2,3,2,2,
0,2,2,2,3,2,2,
0,2,2,2,3,2,2,
0,2,2,2,3,2,2,
0,2,2,2,3,2,2,
0,2,2,2,3,2,2,
0,2,2,2,3,2,0,
0,2,2,2,3,2,,
0,2,2,2,3,2,,
0,2,2,2,3,2,,
0,2,2,2,3,0,,
0,2,2,2,3,,,
0,2,2,2,3,,,
0,2,2,2,3,,,
2,2,2,2,3,,,
2,2,2,2,0,,,
2,2,2,2,,,,
2,2,2,2,,,,
2,2,2,0,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,2,,,,,
2,2,0,,,,,
2,2,,,,,,
2,2,,,,,,
2,2,,,,,,
2,2,,,,,,
2,2,,,,,,
2,2,,,,,,
2,0,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
2,,,,,,,
0,,,,,,,
